Rank,Players,Total_FPTS,Average_FPTS
324,Will DisslyLACTE,73.7,4.3
325,Noah GrayKCTE,66.7,3.9
326,Dawson KnoxBufTE,47.1,2.8
327,Cole KmetChiTE,44.2,2.6
328,Austin HooperNETE,62.0,3.6
329,Harold Fannin Jr.CleTE,43.8,2.6
330,Luke MusgraveGBTE,34.4,2.0
331,Foster MoreauNOTE,64.0,3.8
332,Tommy TrembleCarTE,50.9,3.0
333,Josh OliverMinTE,40.7,2.4
334,Cade StoverHouTE,36.4,2.1
335,Elijah HigginsAriTE,35.9,2.1
336,Jalen MilroeSeaQB,0.0,0
337,Tyrod TaylorNYJQB,2.1,0.1
338,Gardner MinshewKCQB,2.7,0.2
339,Jameis WinstonNYGQB,0.0,0
340,Will LevisTenQB,2.3,0.1
341,Jake BrowningCinQB,2.9,0.2
342,Jimmy GaroppoloLARQB,2.7,0.2
343,Marcus MariotaWshQB,2.7,0.2
344,Sam HowellMinQB,2.6,0.2
345,Joe Milton IIIDalQB,2.6,0.2
346,Cam LittleJaxK,133.9,7.9
347,Will ReichardMinK,132.8,7.8
348,Spencer ShraderIndK,131.4,7.7
349,Matthew WrightCarK,131.1,7.7
350,Chad RylandAriK,127.9,7.5
351,Younghoe KooAtlK,127.7,7.5
352,Andy BorregalesNEK,127.3,7.5
353,Jake MoodySFK,126.0,7.4
354,Blake GrupeNOK,125.8,7.4
355,Joey SlyeTenK,124.7,7.3
356,Graham GanoNYGK,124.4,7.3
357,Caden DavisNYJK,123.5,7.3
358,Dustin HopkinsCleK,118.5,7.0
359,RaidersLVDST,89.5,5.3
360,JaguarsJaxDST,80.2,4.7
361,CowboysDalDST,74.8,4.4
362,BrownsCleDST,68.5,4.0
363,TitansTenDST,65.7,3.9
364,FalconsAtlDST,65.4,3.8
365,SaintsNODST,70.6,4.2
366,PanthersCarDST,57.4,3.4
367,CommandersWshDST,56.3,3.3
368,BengalsCinDST,54.6,3.2
369,Demarcus RobinsonSFWR,56.2,3.3
370,Curtis SamuelBufWR,55.0,3.2
371,Parker WashingtonJaxWR,52.9,3.1
