Rank,Total_FPTS,Average_FPTS,Player,Team,Position
302,130.5,14.5,Jaxson Dart,NYG,QB
303,73.1,14.6,Dillon Gabriel,CLE,QB
304,15.9,0.9,Emanuel Wilson,GB,RB
305,12.8,0.8,Kenneth Gainwell,PIT,RB
306,12.3,0.7,Hunter Luepke,DAL,RB
307,10.7,0.6,Tyler Goodson,IND,RB
308,10.3,0.6,Chris Brooks,GB,RB
309,9.7,0.6,Jeremy McNichols,WSH,RB
310,9.6,0.6,AJ Dillon,PHI,RB
311,55.4,13.8,Shedeur Sanders,CLE,QB
312,81.7,4.8,Tyler Conklin,LAC,TE
313,71.6,4.2,Michael Mayer,LV,TE
314,56.2,3.3,Ben Sinnott,WSH,TE
315,49.3,2.9,Terrance Ferguson,LAR,TE
316,105.1,13.1,Kenny Pickett,CLE,QB
317,0.0,0.0,Joe Flacco,CLE,QB
318,2.2,0.1,Mason Rudolph,PIT,QB
319,87.2,14.5,Spencer Rattler,NO,QB
320,2.4,0.1,Kirk Cousins,ATL,QB
321,9.6,0.6,Carlos Washington Jr.,ATL,RB
322,9.2,0.5,C.J. Ham,MIN,RB
323,8.8,0.5,Tahj Brooks,CIN,RB
324,73.7,4.3,Will Dissly,LAC,TE
325,66.7,3.9,Noah Gray,KC,TE
326,47.1,2.8,Dawson Knox,BUF,TE
327,44.2,2.6,Cole Kmet,CHI,TE
328,62.0,3.6,Austin Hooper,NE,TE
329,43.8,2.6,Harold Fannin Jr.,CLE,TE
330,34.4,2.0,Luke Musgrave,GB,TE
331,64.0,3.8,Foster Moreau,NO,TE
332,50.9,3.0,Tommy Tremble,CAR,TE
333,40.7,2.4,Josh Oliver,MIN,TE
334,36.4,2.1,Cade Stover,HOU,TE
335,35.9,2.1,Elijah Higgins,ARI,TE
336,0.0,0.0,Jalen Milroe,SEA,QB
337,2.1,0.1,Tyrod Taylor,NYJ,QB
338,2.7,0.2,Gardner Minshew,KC,QB
339,0.0,0.0,Jameis Winston,NYG,QB
340,2.3,0.1,Will Levis,TEN,QB
341,2.9,0.2,Jake Browning,CIN,QB
342,2.7,0.2,Jimmy Garoppolo,LAR,QB
343,2.7,0.2,Marcus Mariota,WSH,QB
344,2.6,0.2,Sam Howell,MIN,QB
345,2.6,0.2,Joe Milton III,DAL,QB
346,133.9,7.9,Cam Little,JAX,K
347,132.8,7.8,Will Reichard,MIN,K
348,131.4,7.7,Spencer Shrader,IND,K
349,131.1,7.7,Matthew Wright,CAR,K
350,127.9,7.5,Chad Ryland,ARI,K
351,127.7,7.5,Younghoe Koo,ATL,K
352,127.3,7.5,Andy Borregales,NE,K
353,126.0,7.4,Jake Moody,SF,K
354,125.8,7.4,Blake Grupe,NO,K
355,124.7,7.3,Joey Slye,TEN,K
356,124.4,7.3,Graham Gano,NYG,K
357,123.5,7.3,Caden Davis,NYJ,K
358,118.5,7.0,Dustin Hopkins,CLE,K
359,89.5,5.3,Raiders,LV,DST
360,80.2,4.7,Jaguars,JAX,DST
361,74.8,4.4,Cowboys,DAL,DST
362,68.5,4.0,Browns,CLE,DST
363,65.7,3.9,Titans,TEN,DST
364,65.4,3.8,Falcons,ATL,DST
365,70.6,4.2,Saints,NO,DST
366,57.4,3.4,Panthers,CAR,DST
367,56.3,3.3,Commanders,WSH,DST
368,54.6,3.2,Bengals,CIN,DST
369,56.2,3.3,Demarcus Robinson,SF,WR
370,55.0,3.2,Curtis Samuel,BUF,WR
371,52.9,3.1,Parker Washington,JAX,WR
372,52.2,3.1,Elic Ayomanor,TEN,WR
373,49.1,2.9,Tim Patrick,DET,WR
374,47.1,2.8,Robert Woods,PIT,WR
375,8.0,0.5,Scott Matlock,LAC,RB
376,45.4,2.7,Chimere Dike,TEN,WR
377,45.2,2.7,Elijah Moore,BUF,WR
378,45.2,2.7,Troy Franklin,DEN,WR
379,43.3,2.5,Mack Hollins,NE,WR
380,43.1,2.5,Roman Wilson,PIT,WR
381,40.4,2.4,Jaylin Lane,WSH,WR
